,alt,co,lat,lon,no2,pm2_5,volts
158,0.0,0.0,51.4535643667,-2.59757406667,0.0733333333333,38.6666666667,3.05666666667
159,0.0,0.0,51.4535168,-2.5976276,0.05,34.0,3.11
160,0.0,0.0,51.45341,-2.59775745,0.08,32.5,2.985
161,0.0,0.0,51.4533955,-2.597776,0.08,37.0,2.98
162,0.0,0.0,51.4531484,-2.5979878,0.07,30.0,3.12
163,0.0,0.0,51.4529822,-2.5980542,0.05,26.0,3.1
164,0.0,0.0,51.4529104667,-2.59808583333,0.0633333333333,31.3333333333,3.08333333333
165,0.0,0.0,51.4528136,-2.5980984,0.05,32.0,3.03
166,0.0,0.0,51.452693,-2.5983112,0.09,36.0,2.96
167,0.0,-1.0,51.4527524,-2.5985993,0.07,38.0,3.11
168,0.0,0.0,51.4527975,-2.5987543,0.07,28.0,3.11
169,0.0,0.0,51.4528164,-2.5990086,0.07,28.0,3.11
170,0.0,0.0,51.45268495,-2.59892975,0.045,29.0,3.08
171,0.0,0.0,51.452735,-2.5993854,0.05,32.0,2.98
172,0.0,0.0,51.4527564,-2.5994884,0.08,31.0,2.97
173,76.5,0.0,51.4525517,-2.5998621,0.07,33.0,3.105
174,76.5,0.0,51.4525517,-2.5998621,0.07,33.0,3.105
175,0.0,0.0,51.45290125,-2.59999025,0.075,58.5,3.075
176,0.0,0.0,51.4529374,-2.6000694,0.0733333333333,30.0,3.03666666667
177,0.0,0.0,51.452937525,-2.6000865,0.0675,29.25,3.0475
178,0.0,0.0,51.452937525,-2.6000865,0.0675,29.25,3.0475
179,0.0,0.0,51.45294855,-2.6001444,0.05,27.0,3.095
180,0.0,0.0,51.4530036,-2.6002649,0.05,30.0,3.1
181,0.0,0.0,51.453051325,-2.60038265,0.055,29.25,3.0325
182,0.0,0.0,51.453051325,-2.60038265,0.055,29.25,3.0325
183,0.0,0.0,51.4531809333,-2.600629,0.0433333333333,34.0,3.04333333333
184,0.0,0.0,51.45318915,-2.6006414,0.045,33.5,3.06
185,0.0,0.0,51.453202275,-2.600677275,0.045,34.75,3.0825
186,0.0,0.0,51.45311085,-2.6005669,0.07,35.0,3.045
187,0.0,0.0,51.45171175,-2.6039507,0.05,33.0,2.995
188,0.0,0.0,51.45171175,-2.6039507,0.05,33.0,2.995
189,0.0,0.0,51.4520493,-2.6023895,0.05,32.5,3.085
190,0.0,0.0,51.4520493,-2.6023895,0.05,32.5,3.085
191,0.0,0.0,51.45203,-2.60254,0.05,33.0,3.1
192,70.0,0.0,51.451731,-2.6028566,0.05,110.0,3.11
193,0.0,0.0,51.4518649,-2.6028171,0.045,35.0,2.98
194,0.0,0.0,51.4518166,-2.6029445,0.08,37.0,2.99
195,0.0,0.0,51.45169155,-2.60340415,0.05,31.5,3.11
196,0.0,0.0,51.45169155,-2.60340415,0.05,31.5,3.11
197,0.0,0.0,51.4516595,-2.6037645,0.05,33.0,3.11
198,0.0,0.0,51.4516361,-2.6040001,0.05,39.0,3.0
199,0.0,0.0,51.4516402,-2.6041261,0.07,160.0,2.99
200,0.0,0.0,51.4516690478,-2.60423134783,0.0347826086957,32.1739130435,3.03956521739
201,0.0,0.0,51.4516701833,-2.60423125833,0.0366666666667,32.4166666667,3.035
