,alt,co,lat,lon,no2,pm2_5,volts,when,pm_2_5_prop,pm_2_5_scaled
51,68,0,51.4489194,-2.5857094,0.05,32,3.06,2015-10-17 08:16:09,-0.553239986955,0.727272727273
52,62,0,51.4489643,-2.5859412,0.04,38,3.02,2015-10-17 08:16:20,0.796573757151,0.863636363636
53,0,0,51.4491336,-2.5854671,0.09,40,2.96,2015-10-17 08:16:31,1.24651167185,0.909090909091
54,0,0,51.4491126,-2.5853205,0.05,27,3.06,2015-10-17 08:16:42,-1.67808477371,0.613636363636
55,0,0,51.4492153,-2.5861552,0.05,32,3.07,2015-10-17 08:16:53,-0.553239986955,0.727272727273
56,0,0,51.4492378,-2.5862888,0.05,32,3.07,2015-10-17 08:17:04,-0.553239986955,0.727272727273
57,0,0,51.449116,-2.5870029,0.07,25,3.06,2015-10-17 08:17:15,-2.12802268841,0.568181818182
58,0,0,51.4491207,-2.587236,0.07,36,3.0,2015-10-17 08:17:26,0.346635842449,0.818181818182
59,69,0,51.4489045,-2.5875603,0.07,32,2.98,2015-10-17 08:17:37,-0.553239986955,0.727272727273
60,66,0,51.4488667,-2.5878151,0.05,38,3.07,2015-10-17 08:17:48,0.796573757151,0.863636363636
61,65,0,51.4488487,-2.5880735,0.07,31,3.07,2015-10-17 08:17:59,-0.778208944306,0.704545454545
62,64,0,51.4488239,-2.5883219,0.05,34,3.07,2015-10-17 08:18:11,-0.103302072253,0.772727272727
63,0,0,51.4490284,-2.5882828,0.04,36,3.02,2015-10-17 08:18:22,0.346635842449,0.818181818182
64,0,0,51.4490593,-2.5884253,0.07,38,2.96,2015-10-17 08:18:33,0.796573757151,0.863636363636
65,0,0,51.4490922,-2.5888076,0.04,38,3.07,2015-10-17 08:18:44,0.796573757151,0.863636363636
66,0,0,51.4491181,-2.5888445,0.04,35,3.07,2015-10-17 08:18:55,0.121666885098,0.795454545455
67,0,0,51.4489779,-2.5893023,0.05,32,3.07,2015-10-17 08:19:06,-0.553239986955,0.727272727273
68,0,0,51.4489833,-2.5893017,0.04,34,3.07,2015-10-17 08:19:17,-0.103302072253,0.772727272727
69,92,0,51.4489596,-2.5895795,0.08,36,3.0,2015-10-17 08:19:28,0.346635842449,0.818181818182
70,0,0,51.4489785,-2.5893761,0.05,37,2.97,2015-10-17 08:19:39,0.5716047998,0.840909090909
71,0,0,51.4489953,-2.5894588,0.05,39,3.07,2015-10-17 08:19:50,1.0215427145,0.886363636364
72,0,0,51.449057,-2.5895118,0.05,27,3.07,2015-10-17 08:20:01,-1.67808477371,0.613636363636
73,0,0,51.4491049,-2.5896644,0.07,30,3.05,2015-10-17 08:20:12,-1.00317790166,0.681818181818
74,0,0,51.4491737,-2.5905764,0.08,40,3.01,2015-10-17 08:20:23,1.24651167185,0.909090909091
75,0,0,51.4490181,-2.5913205,0.05,33,3.07,2015-10-17 08:20:56,-0.328271029604,0.75
76,0,0,51.4491923,-2.5913529,0.05,32,3.07,2015-10-17 08:21:07,-0.553239986955,0.727272727273
77,0,0,51.4494076,-2.591656,0.07,35,2.96,2015-10-17 08:21:40,0.121666885098,0.795454545455
78,0,0,51.4494639,-2.5918556,0.04,33,3.07,2015-10-17 08:21:51,-0.328271029604,0.75
79,69,0,51.4496154,-2.5924528,0.04,35,3.07,2015-10-17 08:22:02,0.121666885098,0.795454545455
80,0,0,51.4495751,-2.5926021,0.05,27,3.07,2015-10-17 08:22:13,-1.67808477371,0.613636363636
81,0,0,51.4496417,-2.5927477,0.07,39,3.0,2015-10-17 08:22:24,1.0215427145,0.886363636364
82,0,0,51.4494797,-2.5925266,0.07,34,2.97,2015-10-17 08:22:35,-0.103302072253,0.772727272727
83,0,0,51.4495389,-2.5926392,0.07,33,3.07,2015-10-17 08:22:46,-0.328271029604,0.75
84,0,0,51.4496747,-2.5929389,0.05,30,3.07,2015-10-17 08:22:57,-1.00317790166,0.681818181818
85,0,0,51.4497002,-2.5930818,0.05,39,3.07,2015-10-17 08:23:08,1.0215427145,0.886363636364
86,0,0,51.4499634,-2.5938757,0.07,32,2.98,2015-10-17 08:23:41,-0.553239986955,0.727272727273
87,0,0,51.4499014,-2.5944481,0.05,38,3.07,2015-10-17 08:23:52,0.796573757151,0.863636363636
88,0,0,51.4499325,-2.5944632,0.05,43,3.07,2015-10-17 08:24:03,1.92141854391,0.977272727273
89,0,0,51.4499307,-2.5946786,0.05,36,3.07,2015-10-17 08:24:14,0.346635842449,0.818181818182
90,0,0,51.4498161,-2.594669,0.07,39,2.97,2015-10-17 08:24:25,1.0215427145,0.886363636364
91,0,0,51.4501068,-2.5951763,0.05,32,3.07,2015-10-17 08:24:58,-0.553239986955,0.727272727273
92,0,0,51.4501251,-2.5951453,0.05,37,3.07,2015-10-17 08:25:09,0.5716047998,0.840909090909
93,0,0,51.449932,-2.5964615,0.04,39,3.01,2015-10-17 08:25:20,1.0215427145,0.886363636364
94,69,0,51.4498844,-2.5967013,0.05,42,2.99,2015-10-17 08:25:31,1.69644958655,0.954545454545
95,75,0,51.449905,-2.5968814,0.03,41,3.08,2015-10-17 08:25:42,1.4714806292,0.931818181818
96,70,0,51.4499749,-2.5970944,0.05,42,3.08,2015-10-17 08:25:53,1.69644958655,0.954545454545
97,65,0,51.4500194,-2.5973152,0.05,37,3.07,2015-10-17 08:26:04,0.5716047998,0.840909090909
98,0,0,51.4499727,-2.5970123,0.07,33,3.08,2015-10-17 08:26:15,-0.328271029604,0.75
99,63,0,51.450053,-2.5977439,0.05,38,3.0,2015-10-17 08:26:26,0.796573757151,0.863636363636
